Source,Target,num_mentions
USA,ITA,323
USA,VNM,120
USA,PSE,460
USA,RUS,6304
USA,GBR,18062
USA,MEX,6964
USA,CAN,9907
USA,AUS,1457
USA,ISR,3302
USA,DEU,1280
USA,SLV,232
USA,VAT,40
USA,EUR,2915
USA,JPN,610
USA,CHN,2762
USA,AFR,690
USA,NMR,357
USA,WSM,42
USA,AFG,2452
USA,PAK,100
USA,IRL,1039
USA,FRA,1288
USA,CRI,308
USA,KOR,500
USA,TUN,270
USA,LAO,600
USA,PHL,584
USA,IND,90
USA,NLD,256
USA,UKR,716
USA,CHE,1200
USA,EGY,442
USA,GTM,460
USA,BFA,80
USA,ESP,476
USA,PAN,475
USA,DNK,320
USA,NOR,390
USA,SYR,3600
USA,IRQ,410
USA,GUY,44
USA,WST,500
USA,QAT,90
USA,BEL,50
USA,BRN,180
USA,HND,388
USA,IRN,602
USA,BHS,100
USA,MDV,40
USA,COL,60
USA,TJK,30
USA,THA,100
USA,BRA,164
USA,JOR,128
USA,FIN,658
USA,BGD,80
USA,TUR,568
USA,NAM,10
USA,TWN,110
USA,MMR,72
USA,LBY,60
USA,BDI,40
USA,TCD,60
USA,UGA,120
USA,SWE,24
ITA,GBR,481
ITA,EUR,270
ITA,LBN,18
ITA,LBY,214
ITA,RUS,30
ITA,DNK,48
ITA,TUR,21
ITA,AFR,28
ITA,DEU,26
ITA,FRA,28
ITA,TUN,20
ITA,EGY,12
ITA,POL,28
ITA,AZE,21
GBR,JPN,3358
GBR,WST,376
GBR,FRA,2112
GBR,AUS,419
GBR,KOR,468
GBR,PRK,676
GBR,CHN,26
GBR,ARE,168
GBR,TUR,1102
GBR,NLD,86
GBR,BGD,170
GBR,POL,52
GBR,EUR,2728
GBR,IRL,365
GBR,RUS,1006
GBR,BHR,520
GBR,CRI,520
GBR,KWT,520
GBR,TTO,520
GBR,BHS,104
GBR,BLR,52
GBR,ZWE,60
GBR,NOR,420
GBR,EGY,411
GBR,CAN,2894
GBR,DEU,551
GBR,PRT,28
GBR,HTI,114
GBR,UZB,130
GBR,IRN,125
GBR,SLB,140
GBR,BEL,63
GBR,IND,32
GBR,ISR,105
GBR,GRC,572
GBR,CHE,208
GBR,ESP,365
GBR,TWN,80
JPN,AUS,311
JPN,NZL,90
JPN,MMR,50
JPN,CHN,270
JPN,BRN,100
JPN,CAN,176
JPN,KOR,100
JPN,RUS,230
JPN,PER,100
JPN,DEU,30
JPN,FRA,32
JPN,MYS,30
JPN,VNM,150
JPN,AFR,150
AUS,NZL,357
AUS,FRA,216
AUS,KOR,80
AUS,SGP,199
AUS,CHN,824
AUS,BRN,80
AUS,CAN,120
AUS,CHL,60
AUS,MEX,200
AUS,MYS,70
AUS,PER,80
AUS,VNM,80
AUS,DEU,270
AUS,BRA,130
AUS,CHE,15
AUS,ESP,30
AUS,IDN,114
AUS,TTO,70
AUS,JOR,36
